"filename", "language", "YAML", "JSON", "Markdown", "TypeScript", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/despesas/despesas.service.ts", "TypeScript", 0, 0, 0, 546, 0, 0, 0, 85, 631
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/despesas/dto/create-despesa.dto.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 7, 65
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/despesas/dto/update-despesa.dto.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 7, 64
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/despesas/entities/despesa.entity.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 16, 153
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/contas-financeiras.controller.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 6, 89
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/contas-financeiras.module.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 1, 25
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/contas-financeiras.service.ts", "TypeScript", 0, 0, 0, 183, 0, 0, 1, 29, 213
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/dto/create-conta-financeira.dto.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 7, 66
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/dto/find-conta-financeira.dto.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 1, 6, 44
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/dto/update-conta-financeira.dto.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/entities/conta-financeira.entity.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 16, 146
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/financeiro/contas-financeiras/enums/tipo-conta-financeira.enum.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/funcionarios/dto/create-funcionario.dto.ts", "TypeScript", 0, 0, 0, 136, 0, 0, 0, 19, 155
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/funcionarios/dto/update-funcionario.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/funcionarios/funcionarios.controller.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 6, 63
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/funcionarios/funcionarios.module.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/funcionarios/funcionarios.service.ts", "TypeScript", 0, 0, 0, 187, 0, 0, 0, 42, 229
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/get/get.controller.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 3, 18
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/get/get.module.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/main.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 7, 34
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/movimentacoes/entities/movimentacao-financeira.entity.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 15, 145
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/movimentacoes/movimentacoes.controller.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 3, 133
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/movimentacoes/movimentacoes.module.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 1, 27
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/movimentacoes/movimentacoes.service.ts", "TypeScript", 0, 0, 0, 335, 0, 0, 0, 48, 383
"/home/tavarish/Documentos/work/nestjs-auth-starter/auth-api/src/ordens-servico/dto/concluir-os/concluir-ordem-servico.dto.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 1, 3, 16
